year,fg_name,fg_name_norm,match_method,match_score,ibw_rank,ibw_name,ibw_name_norm,ibw_url
2025,Jake Eder,jake eder,none,0,,,,
2025,Eric Orze,eric orze,none,0,,,,
2025,Connor Phillips,connor phillips,none,0,,,,
2025,Justin Sterner,justin sterner,none,0,,,,
2025,Mick Abel,mick abel,none,0,,,,
2025,Yosver Zulueta,yosver zulueta,none,0,,,,
2025,Zach Brzykcy,zach brzykcy,none,0,,,,
2025,Brandon Young,brandon young,none,0,,,,
2025,J.T. Ginn,j.t. ginn,none,0,,,,
2025,Noah Murdock,noah murdock,none,0,,,,
2025,Ian Seymour,ian seymour,exact,100,485,Ian Seymour,ian seymour,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Andry Lara,andry lara,none,0,,,,
2025,Cristian Mena,cristian mena,none,0,,,,
2025,Jose Corniell,jose corniell,none,0,,,,
2025,Bradgley Rodriguez,bradgley rodriguez,none,0,,,,
2025,Yilber Diaz,yilber diaz,exact,100,163,Yilber Diaz,yilber diaz,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Gordon Graceffo,gordon graceffo,none,0,,,,
2025,Andre Granillo,andre granillo,none,0,,,,
2025,Patrick Monteverde,patrick monteverde,none,0,,,,
2025,Chase Lee,chase lee,none,0,,,,
2025,Matt Svanson,matt svanson,none,0,,,,
2025,Andrew Hoffmann,andrew hoffmann,none,0,,,,
2025,Mason Montgomery,mason montgomery,none,0,,,,
2025,Robert Gasser,robert gasser,exact,100,298,Robert Gasser,robert gasser,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Nick Nastrini,nick nastrini,none,0,,,,
2025,Ryan Bergert,ryan bergert,none,0,,,,
2025,Chayce McDermott,chayce mcdermott,exact,100,296,Chayce McDermott,chayce mcdermott,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Bubba Chandler,bubba chandler,exact,100,20,Bubba Chandler,bubba chandler,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Michael McGreevy,michael mcgreevy,exact,100,287,Michael McGreevy,michael mcgreevy,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Sean Burke,sean burke,exact,100,107,Sean Burke,sean burke,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Dylan Dodd,dylan dodd,none,0,,,,
2025,AJ Smith-Shawver,aj smith-shawver,exact,100,182,AJ Smith-Shawver,aj smith-shawver,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Grant Holman,grant holman,none,0,,,,
2025,Joe Rock,joe rock,none,0,,,,
2025,Carson Seymour,carson seymour,none,0,,,,
2025,Ben Casparius,ben casparius,none,0,,,,
2025,Mike Vasil,mike vasil,none,0,,,,
2025,Jack Neely,jack neely,none,0,,,,
2025,Chad Patrick,chad patrick,none,0,,,,
2025,Ty Madden,ty madden,none,0,,,,
2025,Doug Nikhazy,doug nikhazy,none,0,,,,
2025,Dylan Smith,dylan smith,none,0,,,,
2025,Jack Leiter,jack leiter,exact,100,108,Jack Leiter,jack leiter,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Dom Hamel,dom hamel,none,0,,,,
2025,Richard Fitts,richard fitts,exact,100,267,Richard Fitts,richard fitts,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Carlos Rodriguez,carlos rodriguez,none,0,,,,
2025,Carlos Rodriguez,carlos rodriguez,none,0,,,,
2025,Carlos Rodriguez,carlos rodriguez,none,0,,,,
2025,Carlos Rodriguez,carlos rodriguez,none,0,,,,
2025,Chase Petty,chase petty,exact,100,270,Chase Petty,chase petty,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Mason Black,mason black,none,0,,,,
2025,Pierson Ohl,pierson ohl,none,0,,,,
2025,Travis Adams,travis adams,none,0,,,,
2025,Will Warren,will warren,exact,100,324,Will Warren,will warren,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Noah Cameron,noah cameron,exact,100,316,Noah Cameron,noah cameron,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Jackson Jobe,jackson jobe,exact,100,21,Jackson Jobe,jackson jobe,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Hunter Dobbins,hunter dobbins,none,0,,,,
2025,Jack Dreyer,jack dreyer,none,0,,,,
2025,Jaden Hill,jaden hill,none,0,,,,
2025,Didier Fuentes,didier fuentes,exact,100,445,Didier Fuentes,didier fuentes,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Luis Guerrero,luis guerrero,none,0,,,,
2025,Justin Wrobleski,justin wrobleski,exact,100,178,Justin Wrobleski,justin wrobleski,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Colton Gordon,colton gordon,none,0,,,,
2025,Gunnar Hoglund,gunnar hoglund,none,0,,,,
2025,Jack Perkins,jack perkins,exact,100,457,Jack Perkins,jack perkins,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Logan Henderson,logan henderson,exact,100,172,Logan Henderson,logan henderson,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Michael Darrell-Hicks,michael darrell-hicks,none,0,,,,
2025,Caden Dana,caden dana,exact,100,109,Caden Dana,caden dana,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Zach Agnos,zach agnos,none,0,,,,
2025,Mason Fluharty,mason fluharty,none,0,,,,
2025,Paul Gervase,paul gervase,none,0,,,,
2025,Zach Maxwell,zach maxwell,none,0,,,,
2025,Carson Palmquist,carson palmquist,none,0,,,,
2025,David Morgan,david morgan,none,0,,,,
2025,Jacob Misiorowski,jacob misiorowski,exact,100,70,Jacob Misiorowski,jacob misiorowski,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Carson Whisenhunt,carson whisenhunt,exact,100,271,Carson Whisenhunt,carson whisenhunt,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Shane Smith,shane smith,none,0,,,,
2025,Blade Tidwell,blade tidwell,exact,100,300,Blade Tidwell,blade tidwell,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Mason Barnett,mason barnett,exact,100,196,Mason Barnett,mason barnett,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Garrett McDaniels,garrett mcdaniels,none,0,,,,
2025,AJ Blubaugh,aj blubaugh,none,0,,,,
2025,Troy Melton,troy melton,exact,100,486,Troy Melton,troy melton,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Cade Gibson,cade gibson,none,0,,,,
2025,Kumar Rocker,kumar rocker,exact,100,22,Kumar Rocker,kumar rocker,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Cade Horton,cade horton,exact,100,63,Cade Horton,cade horton,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Adam Mazur,adam mazur,exact,100,336,Adam Mazur,adam mazur,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Brad Lord,brad lord,none,0,,,,
2025,Parker Messick,parker messick,exact,100,304,Parker Messick,parker messick,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Thomas Harrington,thomas harrington,exact,100,165,Thomas Harrington,thomas harrington,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Cam Schlittler,cam schlittler,none,0,,,,
2025,Jonah Tong,jonah tong,exact,100,169,Jonah Tong,jonah tong,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Luis Morales,luis morales,exact,100,184,Luis Morales,luis morales,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Jake Bloss,jake bloss,exact,100,335,Jake Bloss,jake bloss,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Hunter Barco,hunter barco,exact,100,272,Hunter Barco,hunter barco,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Craig Yoho,craig yoho,exact,100,362,Craig Yoho,craig yoho,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Seth Halvorsen,seth halvorsen,none,0,,,,
2025,Chase Dollander,chase dollander,exact,100,57,Chase Dollander,chase dollander,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Hurston Waldrep,hurston waldrep,exact,100,199,Hurston Waldrep,hurston waldrep,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Brandyn Garcia,brandyn garcia,none,0,,,,
2025,Mitch Farris,mitch farris,none,0,,,,
2025,Connelly Early,connelly early,exact,100,487,Connelly Early,connelly early,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Logan Evans,logan evans,exact,100,200,Logan Evans,logan evans,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Nolan McLean,nolan mclean,exact,100,301,Nolan McLean,nolan mclean,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Andrew Walters,andrew walters,none,0,,,,
2025,Brandon Sproat,brandon sproat,exact,100,58,Brandon Sproat,brandon sproat,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Rhett Lowder,rhett lowder,exact,100,84,Rhett Lowder,rhett lowder,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Jose Fermin,jose fermin,none,0,,,,
2025,Grant Taylor,grant taylor,exact,100,113,Grant Taylor,grant taylor,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Jonathan Pintaro,jonathan pintaro,none,0,,,,
2025,Roki Sasaki,roki sasaki,exact,100,1,Roki Sasaki,roki sasaki,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Ryan Johnson,ryan johnson,exact,100,260,Ryan Johnson,ryan johnson,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Chase Burns,chase burns,exact,100,23,Chase Burns,chase burns,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Trey Yesavage,trey yesavage,exact,100,116,Trey Yesavage,trey yesavage,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Payton Tolle,payton tolle,exact,100,380,Payton Tolle,payton tolle,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Gerald Ogando,gerald ogando,none,0,,,,
2025,Dalvin Rosario,dalvin rosario,none,0,,,,
2025,Jorge Juan,jorge juan,none,0,,,,
2025,Steven Perez,steven perez,none,0,,,,
2025,Jose Franco,jose franco,none,0,,,,
2025,Royber Salinas,royber salinas,none,0,,,,
2025,Hancel Rincon,hancel rincon,none,0,,,,
2025,Listher Sosa,listher sosa,none,0,,,,
2025,Edgar Isea,edgar isea,none,0,,,,
2025,Luis Velasquez,luis velasquez,none,0,,,,
2025,Anthony Nunez,anthony nunez,none,0,,,,
2025,Adam Macko,adam macko,none,0,,,,
2025,Yosber Sanchez,yosber sanchez,none,0,,,,
2025,Gabriel Sosa,gabriel sosa,none,0,,,,
2025,Sem Robberse,sem robberse,none,0,,,,
2025,Gavin Collyer,gavin collyer,none,0,,,,
2025,Ben Peoples,ben peoples,none,0,,,,
2025,Shane Drohan,shane drohan,none,0,,,,
2025,Nick Frasso,nick frasso,none,0,,,,
2025,Tekoah Roby,tekoah roby,exact,100,397,Tekoah Roby,tekoah roby,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Dax Fulton,dax fulton,none,0,,,,
2025,Marco Raya,marco raya,none,0,,,,
2025,Luis Perales,luis perales,exact,100,204,Luis Perales,luis perales,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Alex Santos II,alex santos,none,0,,,,
2025,Stevie Emanuels,stevie emanuels,none,0,,,,
2025,Po-Yu Chen,po-yu chen,none,0,,,,
2025,Tink Hence,tink hence,exact,100,38,Tink Hence,tink hence,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Braxton Roxby,braxton roxby,none,0,,,,
2025,Carson Coleman,carson coleman,none,0,,,,
2025,Evan Reifert,evan reifert,none,0,,,,
2025,Kyle Brnovich,kyle brnovich,none,0,,,,
2025,Jack Dashwood,jack dashwood,none,0,,,,
2025,Jose Davila,jose davila,none,0,,,,
2025,Coleman Crow,coleman crow,none,0,,,,
2025,Alejandro Hidalgo,alejandro hidalgo,none,0,,,,
2025,Emiliano Teodo,emiliano teodo,exact,100,207,Emiliano Teodo,emiliano teodo,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Victor Lizarraga,victor lizarraga,exact,100,446,Victor Lizarraga,victor lizarraga,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Wilmer Flores,wilmer flores,none,0,,,,
2025,Brandan Bidois,brandan bidois,none,0,,,,
2025,Josh Stephan,josh stephan,none,0,,,,
2025,Elison Joseph,elison joseph,none,0,,,,
2025,Jose Acuna,jose acuna,none,0,,,,
2025,Aidan Curry,aidan curry,none,0,,,,
2025,Moises Chace,moises chace,exact,100,86,Moises Chace,moises chace,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Yerlin Rodriguez,yerlin rodriguez,none,0,,,,
2025,Adrian Rodriguez,adrian rodriguez,none,0,,,,
2025,Adrian Rodriguez,adrian rodriguez,none,0,,,,
2025,Adrian Rodriguez,adrian rodriguez,none,0,,,,
2025,Eiberson Castellano,eiberson castellano,exact,100,395,Eiberson Castellano,eiberson castellano,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Jean Cabrera,jean cabrera,none,0,,,,
2025,Jose Rodriguez,jose rodriguez,none,0,,,,
2025,Jose Rodriguez,jose rodriguez,none,0,,,,
2025,Jose Rodriguez,jose rodriguez,none,0,,,,
2025,Jose Rodriguez,jose rodriguez,none,0,,,,
2025,Yoniel Curet,yoniel curet,exact,100,203,Yoniel Curet,yoniel curet,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Juan Nunez,juan nunez,none,0,,,,
2025,Juan Nunez,juan nunez,none,0,,,,
2025,Yordanny Monegro,yordanny monegro,exact,100,183,Yordanny Monegro,yordanny monegro,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Alimber Santa,alimber santa,none,0,,,,
2025,Joel Diaz,joel diaz,none,0,,,,
2025,Yaqui Rivera,yaqui rivera,none,0,,,,
2025,Miguel Mendez,miguel mendez,none,0,,,,
2025,Yorman Gomez,yorman gomez,none,0,,,,
2025,Winston Santos,winston santos,exact,100,168,Winston Santos,winston santos,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Alexander Alberto,alexander alberto,none,0,,,,
2025,Randel Clemente,randel clemente,none,0,,,,
2025,Gerelmi Maldonado,gerelmi maldonado,none,0,,,,
2025,Jordy Vargas,jordy vargas,none,0,,,,
2025,Ricardo Yan,ricardo yan,none,0,,,,
2025,Welinton Herrera,welinton herrera,none,0,,,,
2025,Felipe De La Cruz,felipe de la cruz,none,0,,,,
2025,Henry Lalane,henry lalane,exact,100,398,Henry Lalane,henry lalane,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Jaydenn  Estanista,jaydenn estanista,none,0,,,,
2025,Jedixson Paez,jedixson paez,exact,100,283,Jedixson Paez,jedixson paez,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Jose Olivares,jose olivares,none,0,,,,
2025,Keythel Key,keythel key,none,0,,,,
2025,Yendy Gomez,yendy gomez,none,0,,,,
2025,Jarold Rosado,jarold rosado,none,0,,,,
2025,Miguel Ullola,miguel ullola,none,0,,,,
2025,Felix Arronde,felix arronde,none,0,,,,
2025,Luis Serna,luis serna,none,0,,,,
2025,Henry Baez,henry baez,none,0,,,,
2025,Jhoniel Serrano,jhoniel serrano,none,0,,,,
2025,Kendry Rojas,kendry rojas,exact,100,285,Kendry Rojas,kendry rojas,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Andrew Moore,andrew moore,none,0,,,,
2025,Douglas Orellana,douglas orellana,none,0,,,,
2025,Gabriel Reyes,gabriel reyes,none,0,,,,
2025,Luis Alvarez,luis alvarez,none,0,,,,
2025,Ismael Agreda,ismael agreda,none,0,,,,
2025,Michael Arias,michael arias,none,0,,,,
2025,Austin Vernon,austin vernon,none,0,,,,
2025,Tyson Guerrero,tyson guerrero,none,0,,,,
2025,Andrew Baker,andrew baker,none,0,,,,
2025,Luis R. Rodriguez,luis r. rodriguez,none,0,,,,
2025,Logan Workman,logan workman,none,0,,,,
2025,Ryan Cusick,ryan cusick,none,0,,,,
2025,Tanner McDougal,tanner mcdougal,none,0,,,,
2025,Alex Pham,alex pham,none,0,,,,
2025,Riley Martin,riley martin,none,0,,,,
2025,Austin Love,austin love,none,0,,,,
2025,Tyler Uberstine,tyler uberstine,none,0,,,,
2025,Raimon Gomez,raimon gomez,none,0,,,,
2025,Mitch Bratt,mitch bratt,none,0,,,,
2025,Ronan Kopp,ronan kopp,none,0,,,,
2025,Michael Morales,michael morales,none,0,,,,
2025,RJ Petit,rj petit,none,0,,,,
2025,Will Dion,will dion,none,0,,,,
2025,Zac Leigh,zac leigh,none,0,,,,
2025,Kevin Abel,kevin abel,none,0,,,,
2025,Andrew Painter,andrew painter,exact,100,10,Andrew Painter,andrew painter,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Eric Cerantola,eric cerantola,none,0,,,,
2025,Peter Heubeck,peter heubeck,none,0,,,,
2025,Brock Selvidge,brock selvidge,none,0,,,,
2025,Tyler Mattison,tyler mattison,none,0,,,,
2025,Franco Aleman,franco aleman,none,0,,,,
2025,Robby Ahlstrom,robby ahlstrom,none,0,,,,
2025,Frank Mozzicato,frank mozzicato,none,0,,,,
2025,Jack Hartman,jack hartman,none,0,,,,
2025,Ben Kudrna,ben kudrna,none,0,,,,
2025,Shane Panzini,shane panzini,none,0,,,,
2025,Anthony Solometo,anthony solometo,none,0,,,,
2025,Walbert Urena,walbert urena,none,0,,,,
2025,Reynaldo Yean,reynaldo yean,none,0,,,,
2025,Kendeglys Virguez,kendeglys virguez,none,0,,,,
2025,Yunior Marte,yunior marte,none,0,,,,
2025,Yunior Marte,yunior marte,none,0,,,,
2025,Joseph Montalvo,joseph montalvo,none,0,,,,
2025,Jarlin Susana,jarlin susana,exact,100,72,Jarlin Susana,jarlin susana,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Fernando Perez,fernando perez,none,0,,,,
2025,Jose Chirinos,jose chirinos,none,0,,,,
2025,Christian Zazueta,christian zazueta,none,0,,,,
2025,Richard Fernandez,richard fernandez,none,0,,,,
2025,Juan Amarante,juan amarante,none,0,,,,
2025,Aldrin Batista,aldrin batista,none,0,,,,
2025,Enrique Segura,enrique segura,none,0,,,,
2025,Hansel Rosario,hansel rosario,none,0,,,,
2025,Jose Fleury,jose fleury,none,0,,,,
2025,Wellington Aracena,wellington aracena,none,0,,,,
2025,Leonel Sequera,leonel sequera,none,0,,,,
2025,Sean Paul Linan,sean paul linan,none,0,,,,
2025,Yu-Min Lin,yu-min lin,none,0,,,,
2025,Luis De Leon,luis de leon,none,0,,,,
2025,Luis De Leon,luis de leon,none,0,,,,
2025,Luis De Leon,luis de leon,none,0,,,,
2025,Jhancarlos  Lara,jhancarlos lara,none,0,,,,
2025,Francis Pena,francis pena,none,0,,,,
2025,Santiago Suarez,santiago suarez,exact,100,186,Santiago Suarez,santiago suarez,https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/
2025,Carlos Lagrange,carlos lagrange,none,0,,,,
2025,Wilmy Sanchez,wilmy sanchez,none,0,,,,
2025,Elmer Rodriguez-Cruz,elmer rodriguez-cruz,none,0,,,,
2025,Franyer Herrera,franyer herrera,none,0,,,,
2025,Carlos Espinosa,carlos espinosa,none,0,,,,
2025,Yeri Perez,yeri perez,none,0,,,,
2025,Liomar Martinez,liomar martinez,none,0,,,,
2025,Juan Bello,juan bello,none,0,,,,
2025,Jogly Garcia,jogly garcia,none,0,,,,
2025,Yordy Herrera,yordy herrera,none,0,,,,
2025,Ovis Portes,ovis portes,none,0,,,,
2025,Joel Hurtado,joel hurtado,none,0,,,,
2025,Anders Tolhurst,anders tolhurst,none,0,,,,
2025,Dale Stanavich,dale stanavich,none,0,,,,
2025,Josh White,josh white,none,0,,,,
2025,Jacob Miller,jacob miller,none,0,,,,
2025,Jacob Miller,jacob miller,none,0,,,,
2025,Liam Simon,liam simon,none,0,,,,
2025,Tyler Stuart,tyler stuart,none,0,,,,
2025,Marquis Grissom Jr.,marquis grissom jr.,none,0,,,,
2025,Cy Nielson,cy nielson,none,0,,,,
2025,Marcus Johnson,marcus johnson,none,0,,,,
2025,Wilian Bormie,wilian bormie,none,0,,,,
